Order ID,Order Date,Ship Date,Ship Mode,Days to Ship Actual,Days to Ship Scheduled,Ship Status,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales Forecast,Sales Target,Price,Profit Ratio,Sales Target Status,forecast_bias,Sales Forecast Status
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756.0,4,0.0,204.0,1132.0,1068,189.0,26.98,Target Not Achieved,376.0,Over Forecast
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.0,4,0.0,0.0,47.0,699,7.75,0.0,Target Not Achieved,16.0,Over Forecast
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7.0,1,0.0,3.0,10.0,699,7.0,42.86,Target Not Achieved,3.0,Over Forecast
CA-2017-130813,2017-01-06,2017-01-08,Second Class,2,3,Shipped Early,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049.0,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.0,3,0.0,9.0,29.0,17,6.33,47.37,Target Achieved,10.0,Over Forecast
CA-2017-105417,2017-01-07,2017-01-12,Standard Class,5,6,Shipped Early,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340.0,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77.0,3,60.0,-54.0,115.0,81,25.67,-70.13,Target Not Achieved,38.0,Over Forecast
CA-2017-105417,2017-01-07,2017-01-12,Standard Class,5,6,Shipped Early,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340.0,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.0,7,80.0,-18.0,16.0,11,1.43,-180.0,Target Not Achieved,6.0,Over Forecast
CA-2017-135405,2017-01-09,2017-01-13,Standard Class,4,6,Shipped Early,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041.0,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.0,2,20.0,1.0,14.0,9,4.5,11.11,Target Achieved,5.0,Over Forecast
CA-2017-135405,2017-01-09,2017-01-13,Standard Class,4,6,Shipped Early,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041.0,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.0,3,20.0,10.0,47.0,29,10.33,32.26,Target Achieved,16.0,Over Forecast
CA-2017-149020,2017-01-10,2017-01-15,Standard Class,5,6,Shipped Early,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153.0,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52.0,1,0.0,21.0,78.0,47,52.0,40.38,Target Achieved,26.0,Over Forecast
CA-2017-149020,2017-01-10,2017-01-15,Standard Class,5,6,Shipped Early,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153.0,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,3.0,1,0.0,1.0,4.0,3,3.0,33.33,Target Achieved,1.0,Over Forecast
CA-2017-130092,2017-01-11,2017-01-14,First Class,3,1,Shipped Late,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901.0,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10.0,2,0.0,3.0,15.0,9,5.0,30.0,Target Achieved,5.0,Over Forecast
CA-2017-162775,2017-01-13,2017-01-15,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,573.0,6,0.0,34.0,857.0,570,95.5,5.93,Target Achieved,284.0,Over Forecast
CA-2017-162775,2017-01-13,2017-01-15,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,6.0,3,0.0,3.0,8.0,570,2.0,50.0,Target Not Achieved,2.0,Over Forecast
CA-2017-157147,2017-01-13,2017-01-18,Standard Class,5,6,Shipped Early,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,20.0,5,0.0,7.0,30.0,1387,4.0,35.0,Target Not Achieved,10.0,Over Forecast
CA-2017-118192,2017-01-13,2017-01-18,Standard Class,5,6,Shipped Early,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055.0,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.0,2,70.0,-3.0,5.0,1387,1.5,-100.0,Target Not Achieved,2.0,Over Forecast
CA-2017-157147,2017-01-13,2017-01-18,Standard Class,5,6,Shipped Early,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109.0,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1326.0,5,0.0,239.0,1986.0,1387,265.2,18.02,Target Not Achieved,660.0,Over Forecast
CA-2017-118192,2017-01-13,2017-01-18,Standard Class,5,6,Shipped Early,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055.0,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.0,7,20.0,13.0,56.0,1387,5.29,35.14,Target Not Achieved,19.0,Over Forecast
CA-2017-162775,2017-01-13,2017-01-15,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.0,2,0.0,5.0,17.0,570,5.5,45.45,Target Not Achieved,6.0,Over Forecast
CA-2017-109232,2017-01-13,2017-01-16,Second Class,3,3,Shipped On Time,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464.0,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,546.0,6,0.0,87.0,818.0,792,91.0,15.93,Target Not Achieved,272.0,Over Forecast
CA-2017-157147,2017-01-13,2017-01-18,Standard Class,5,6,Shipped Early,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109.0,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.0,3,15.0,4.0,500.0,792,111.33,1.2,Target Not Achieved,166.0,Over Forecast
CA-2017-162775,2017-01-13,2017-01-15,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,51.0,3,0.0,25.0,76.0,570,17.0,49.02,Target Not Achieved,25.0,Over Forecast
CA-2017-162775,2017-01-13,2017-01-15,Second Class,2,3,Shipped Early,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,647.0,6,0.0,259.0,969.0,595,107.83,40.03,Target Achieved,322.0,Over Forecast
CA-2017-149524,2017-01-14,2017-01-15,First Class,1,1,Shipped On Time,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,62.0,4,50.0,-53.0,93.0,66,15.5,-85.48,Target Not Achieved,31.0,Over Forecast
CA-2017-103366,2017-01-15,2017-01-17,First Class,2,1,Shipped Late,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076.0,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150.0,5,0.0,66.0,225.0,144,30.0,44.0,Target Achieved,75.0,Over Forecast
CA-2017-115791,2017-01-16,2017-01-18,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.0,3,20.0,10.0,45.0,49,10.0,33.33,Target Not Achieved,15.0,Over Forecast
CA-2017-115791,2017-01-16,2017-01-18,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.0,6,20.0,29.0,190.0,109,21.17,22.83,Target Achieved,63.0,Over Forecast
CA-2017-115791,2017-01-16,2017-01-18,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.0,3,40.0,-31.0,186.0,112,41.33,-25.0,Target Achieved,62.0,Over Forecast
CA-2017-115791,2017-01-16,2017-01-18,Second Class,2,3,Shipped Early,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,19.0,2,70.0,-14.0,28.0,49,9.5,-73.68,Target Not Achieved,9.0,Over Forecast
CA-2017-123477,2017-01-18,2017-01-21,Second Class,3,3,Shipped On Time,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477.0,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,65.0,4,20.0,6.0,97.0,66,16.25,9.23,Target Not Achieved,32.0,Over Forecast
CA-2017-146591,2017-01-19,2017-01-20,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.0,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.0,10,70.0,-24.0,48.0,183,3.2,-75.0,Target Not Achieved,16.0,Over Forecast
CA-2017-146591,2017-01-19,2017-01-20,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.0,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.0,4,20.0,20.0,84.0,183,14.0,35.71,Target Not Achieved,28.0,Over Forecast
CA-2017-146591,2017-01-19,2017-01-20,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.0,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109.0,5,20.0,37.0,163.0,183,21.8,33.94,Target Not Achieved,54.0,Over Forecast
CA-2017-146591,2017-01-19,2017-01-20,First Class,1,1,Shipped On Time,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.0,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.0,5,70.0,-321.0,272.0,158,36.2,-177.35,Target Achieved,91.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,15.0,3,0.0,5.0,22.0,1244,5.0,33.33,Target Not Achieved,7.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,30.0,5,0.0,13.0,44.0,538,6.0,43.33,Target Not Achieved,14.0,Over Forecast
CA-2017-148614,2017-01-20,2017-01-25,Standard Class,5,6,Shipped Early,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049.0,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.0,2,0.0,9.0,29.0,538,9.5,47.37,Target Not Achieved,10.0,Over Forecast
US-2017-147774,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167.0,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.0,1,70.0,-52.0,101.0,67,67.0,-77.61,Target Achieved,34.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44.0,3,0.0,13.0,66.0,538,14.67,29.55,Target Not Achieved,22.0,Over Forecast
US-2017-147627,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401.0,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",39.0,4,0.0,12.0,58.0,1244,9.75,30.77,Target Not Achieved,19.0,Over Forecast
US-2017-147627,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401.0,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,7.0,3,0.0,2.0,10.0,538,2.33,28.57,Target Not Achieved,3.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67.0,2,0.0,16.0,100.0,538,33.5,23.88,Target Not Achieved,33.0,Over Forecast
US-2017-147627,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401.0,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1068.0,3,0.0,224.0,1599.0,1244,356.0,20.97,Target Not Achieved,531.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.0,5,0.0,9.0,29.0,538,3.8,47.37,Target Not Achieved,10.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273.0,3,0.0,30.0,409.0,1244,91.0,10.99,Target Not Achieved,136.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,14.0,1,0.0,4.0,21.0,538,14.0,28.57,Target Not Achieved,7.0,Over Forecast
US-2017-147627,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401.0,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.0,3,0.0,11.0,35.0,538,7.67,47.83,Target Not Achieved,12.0,Over Forecast
US-2017-147627,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401.0,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,23.0,7,0.0,7.0,34.0,538,3.29,30.43,Target Not Achieved,11.0,Over Forecast
CA-2017-148614,2017-01-20,2017-01-25,Standard Class,5,6,Shipped Early,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049.0,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.0,2,0.0,6.0,29.0,1244,9.5,31.58,Target Not Achieved,10.0,Over Forecast
CA-2017-167927,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248.0,4,10.0,94.0,371.0,538,62.0,37.9,Target Not Achieved,123.0,Over Forecast
US-2017-147627,2017-01-20,2017-01-26,Standard Class,6,6,Shipped On Time,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401.0,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,700.0,7,0.0,182.0,1048.0,749,100.0,26.0,Target Not Achieved,348.0,Over Forecast
CA-2017-110422,2017-01-21,2017-01-23,Second Class,2,3,Shipped Early,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180.0,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.0,3,20.0,4.0,38.0,25,8.33,16.0,Target Achieved,13.0,Over Forecast
CA-2017-146997,2017-01-23,2017-01-27,Standard Class,4,6,Shipped Early,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905.0,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",6.0,3,0.0,0.0,9.0,40,2.0,0.0,Target Not Achieved,3.0,Over Forecast
CA-2017-102645,2017-01-23,2017-01-28,Standard Class,5,6,Shipped Early,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115.0,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.0,6,0.0,19.0,60.0,40,6.67,47.5,Target Achieved,20.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",17.0,2,0.0,8.0,25.0,531,8.5,47.06,Target Not Achieved,8.0,Over Forecast
CA-2017-167997,2017-01-26,2017-01-29,First Class,3,1,Shipped Late,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701.0,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142.0,2,0.0,40.0,213.0,124,71.0,28.17,Target Achieved,71.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,188.0,2,0.0,53.0,282.0,343,94.0,28.19,Target Not Achieved,94.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.0,3,0.0,4.0,19.0,65,4.0,33.33,Target Not Achieved,7.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.0,13,0.0,0.0,233.0,343,11.92,0.0,Target Not Achieved,78.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.0,3,0.0,9.0,29.0,531,6.33,47.37,Target Not Achieved,10.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",490.0,8,0.0,0.0,734.0,531,61.25,0.0,Target Not Achieved,244.0,Over Forecast
US-2017-155502,2017-01-26,2017-01-31,Standard Class,5,6,Shipped Early,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304.0,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",63.0,3,0.0,31.0,94.0,65,21.0,49.21,Target Not Achieved,31.0,Over Forecast
CA-2017-167997,2017-01-26,2017-01-29,First Class,3,1,Shipped Late,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701.0,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,11.0,2,0.0,5.0,16.0,10,5.5,45.45,Target Achieved,5.0,Over Forecast
US-2017-117163,2017-01-27,2017-02-02,Standard Class,6,6,Shipped On Time,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037.0,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.0,1,0.0,14.0,86.0,86,57.0,24.56,Target Not Achieved,29.0,Over Forecast
US-2017-117163,2017-01-27,2017-02-02,Standard Class,6,6,Shipped On Time,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037.0,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.0,4,0.0,12.0,55.0,86,9.0,33.33,Target Not Achieved,19.0,Over Forecast
US-2017-117163,2017-01-27,2017-02-02,Standard Class,6,6,Shipped On Time,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037.0,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333.0,3,20.0,-17.0,499.0,360,111.0,-5.11,Target Not Achieved,166.0,Over Forecast
CA-2017-100328,2017-01-28,2017-02-03,Standard Class,6,6,Shipped On Time,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024.0,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4.0,1,20.0,1.0,6.0,3,4.0,25.0,Target Achieved,2.0,Over Forecast
CA-2017-134103,2017-01-30,2017-02-04,Standard Class,5,6,Shipped Early,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234.0,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,230.0,2,0.0,7.0,344.0,262,115.0,3.04,Target Not Achieved,114.0,Over Forecast
CA-2017-134103,2017-01-30,2017-02-04,Standard Class,5,6,Shipped Early,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234.0,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,11.0,2,0.0,5.0,16.0,262,5.5,45.45,Target Not Achieved,5.0,Over Forecast
CA-2017-115161,2017-01-31,2017-02-02,First Class,2,1,Shipped Late,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691.0,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",291.0,2,15.0,3.0,435.0,308,145.5,1.03,Target Not Achieved,144.0,Over Forecast
